edge_id,point_id_left,point_id_right,kBT_left,J_A_left,kBT_right,J_A_right,z2_left,z2_right,topology_left,topology_right,z2_change_candidate,p0_sign_change_candidate,ppi_sign_change_candidate,edge_length_norm,bulk_gap_min,pfaffian_margin_min,mid_kBT,mid_J_A
80,54,1623,0.2006666666666667,0.351125,0.1726666666666667,0.311375,0,0,trivial,trivial,False,False,False,0.056141397462397526,0.3244834016365944,0.3400324507877272,0.1866666666666667,0.33125000000000004
81,54,2400,0.2006666666666667,0.351125,0.1866666666666666,0.404125,0,0,trivial,trivial,False,False,False,0.04146557556240355,0.2777232535082105,0.29649679489857106,0.19366666666666665,0.377625
82,57,90,0.0723333333333333,0.351125,0.07,0.324625,0,0,trivial,trivial,False,False,False,0.016988688160261303,0.25762601577886346,0.27171704282276177,0.07116666666666666,0.33787500000000004
83,57,448,0.0723333333333333,0.351125,0.0583333333333333,0.41075,0,0,trivial,trivial,False,False,False,0.044802795107724065,0.21341219622242155,0.22938538100683334,0.0653333333333333,0.38093750000000004
84,57,6242,0.0723333333333333,0.351125,0.091,0.3445,0,0,trivial,trivial,False,False,False,0.033864417874789936,0.25762601577886346,0.27171704282276177,0.08166666666666665,0.34781249999999997
85,57,6264,0.0723333333333333,0.351125,0.0886666666666666,0.404125,0,0,trivial,trivial,False,False,False,0.0441463194712053,0.23503859879734604,0.2508064633693928,0.08049999999999996,0.377625
86,58,1064,0.021,1.331625,0.0093333333333333,1.318375,1,1,topological,topological,False,False,False,0.02256309737218443,0.04032506677033353,0.41049763545729284,0.015166666666666651,1.3250000000000002
87,58,1743,0.021,1.331625,0.0186666666666666,1.3382500000000002,1,1,topological,topological,False,False,False,0.005881259072694404,0.04553394192727689,0.40733585521018645,0.0198333333333333,1.3349375
88,58,2057,0.021,1.331625,0.0233333333333333,1.318375,1,1,topological,topological,False,False,False,0.009240912925974256,0.0472100399013438,0.41049763545729284,0.02216666666666665,1.3250000000000002
89,58,2312,0.021,1.331625,0.0233333333333333,1.3382500000000002,1,1,topological,topological,False,False,False,0.005881259072694265,0.0472100399013438,0.4072368110940764,0.02216666666666665,1.3349375
90,58,2583,0.021,1.331625,0.0256666666666666,1.3250000000000002,1,1,topological,topological,False,False,False,0.009356899577066091,0.0472100399013438,0.41049763545729284,0.023333333333333303,1.3283125
91,58,7055,0.021,1.331625,0.021,1.344875,1,1,topological,topological,False,False,False,0.008230452674897193,0.04613247757178687,0.4040070349509219,0.021,1.33825
92,58,7112,0.021,1.331625,0.0256666666666666,1.331625,1,1,topological,topological,False,False,False,0.008403361344537695,0.0472100399013438,0.41043479790031656,0.023333333333333303,1.331625
93,60,124,0.266,0.3975,0.2753333333333334,0.477,0,0,trivial,trivial,False,False,False,0.05216434195848204,0.20874923832222453,0.22711933609701884,0.2706666666666667,0.43725
94,60,265,0.266,0.3975,0.2403333333333333,0.477,0,0,trivial,trivial,False,False,False,0.06763727686336772,0.21349696164823806,0.2330793530754341,0.25316666666666665,0.43725
95,60,335,0.266,0.3975,0.2543333333333333,0.377625,0,0,trivial,trivial,False,False,False,0.024367371669279984,0.2933900261049182,0.3118042841186657,0.26016666666666666,0.38756250000000003
96,60,1017,0.266,0.3975,0.2753333333333334,0.364375,0,0,trivial,trivial,False,False,False,0.02656770827072309,0.2933900261049182,0.3118042841186657,0.2706666666666667,0.38093750000000004
97,60,1134,0.266,0.3975,0.2893333333333333,0.404125,0,0,trivial,trivial,False,False,False,0.04221785327299616,0.28376996590940656,0.3017309027018227,0.2776666666666666,0.4008125
98,60,1209,0.266,0.3975,0.266,0.3445,0,0,trivial,trivial,False,False,False,0.032921810699588494,0.2933900261049182,0.3118042841186657,0.266,0.371
99,63,273,0.0583333333333333,0.5565000000000001,0.0466666666666666,0.51675,0,0,trivial,trivial,False,False,False,0.03241937958839504,0.10027708314138924,0.11278398655665081,0.05249999999999995,0.5366250000000001
100,63,3806,0.0583333333333333,0.5565000000000001,0.0863333333333333,0.5697500000000001,0,0,trivial,trivial,False,False,False,0.0510875102071057,0.0813753015277471,0.09623730474036915,0.0723333333333333,0.5631250000000001
101,63,3900,0.0583333333333333,0.5565000000000001,0.0816666666666666,0.5763750000000001,0,0,trivial,trivial,False,False,False,0.04379301128545143,0.06981474162460864,0.08397336958881094,0.06999999999999995,0.5664375000000001
102,63,5120,0.0583333333333333,0.5565000000000001,0.0723333333333333,0.5830000000000001,0,0,trivial,trivial,False,False,False,0.03010830021633132,0.05764632870804612,0.07058403197678845,0.0653333333333333,0.5697500000000001
