point_id,kBT,J_A,Delta_opt,q_opt,thermo_phase_code,thermo_phase,trusted_exact,training_eligible_exact,rerun_required,q_unresolved,delta_unresolved,pilot_source
3959,0.0723333333333333,0.0,0.40546411939698995,-3.754693366708403e-05,1,uniform_SC,1,1,0,0,0,dataset_iter035
3069,0.357,0.01325,0.5205511692419698,-0.009208409007500029,1,uniform_SC,1,1,0,0,0,dataset_iter035
3392,0.322,0.0,0.5302761494721778,-3.754693366708403e-05,1,uniform_SC,1,1,0,0,0,dataset_iter035
4153,0.4363333333333333,0.006625,0.4583961991790829,-0.004622977970583555,1,uniform_SC,1,1,0,0,0,dataset_iter035
4225,0.546,0.006625,0.16877163693875757,-0.004622977970583555,1,uniform_SC,1,1,0,0,0,dataset_iter035
4228,0.406,0.006625,0.48987497960259574,-0.004622977970583555,1,uniform_SC,1,1,0,0,0,dataset_iter035
4224,0.0093333333333333,0.01325,0.39774498851469237,-0.009208409007500029,1,uniform_SC,1,1,0,0,0,dataset_iter035
3133,0.007,0.0,0.3978451554596006,-3.754693366708403e-05,1,uniform_SC,1,1,0,0,0,dataset_iter035
4450,0.5553333333333333,0.006625,0.08596470307655615,-0.004622977970583555,1,uniform_SC,1,1,0,0,0,dataset_iter035
3290,0.525,0.006625,0.2695235166380057,-0.004622977970583555,1,uniform_SC,1,1,0,0,0,dataset_iter035
3433,0.2963333333333333,0.006625,0.5315783197559842,-0.004622977970583555,1,uniform_SC,1,1,0,0,0,dataset_iter035
2846,0.3056666666666667,0.01325,0.5315783197559842,-0.009208409007500029,1,uniform_SC,1,1,0,0,0,dataset_iter035
5536,0.133,0.006625,0.45057690135187717,-0.004622977970583555,1,uniform_SC,1,1,0,0,0,dataset_iter035
1235,0.3476666666666667,0.0,0.5241609449332848,-3.754693366708403e-05,1,uniform_SC,1,1,0,0,0,dataset_iter035
3539,0.511,0.01325,0.3153387224321237,-0.009283502874834197,1,uniform_SC,1,1,0,0,0,dataset_iter035
5248,0.1563333333333333,0.0,0.4694233496930975,-3.754693366708403e-05,1,uniform_SC,1,1,0,0,0,dataset_iter035
1427,0.0373333333333333,0.0,0.3978451554596006,-3.754693366708403e-05,1,uniform_SC,1,1,0,0,0,dataset_iter035
995,0.2846666666666667,0.006625,0.5307769841967188,-0.004622977970583555,1,uniform_SC,1,1,0,0,0,dataset_iter035
4764,0.5226666666666667,0.0,0.2780452383044422,-3.754693366708403e-05,1,uniform_SC,1,1,0,0,0,dataset_iter035
4078,0.4386666666666667,0.0,0.4555890142719068,-3.754693366708403e-05,1,uniform_SC,1,1,0,0,0,dataset_iter035
3952,0.0583333333333333,0.0,0.40025041736227046,-3.754693366708403e-05,1,uniform_SC,1,1,0,0,0,dataset_iter035
3410,0.4433333333333333,0.0,0.4495739766779218,-3.754693366708403e-05,1,uniform_SC,1,1,0,0,0,dataset_iter035
3165,0.021,0.01325,0.39774498851469237,-0.009208409007500029,1,uniform_SC,1,1,0,0,0,dataset_iter035
4664,0.2776666666666667,0.006625,0.5297740595227635,-0.004622977970583555,1,uniform_SC,1,1,0,0,0,dataset_iter035
2977,0.3196666666666667,0.01325,0.5304764833619943,-0.009208409007500029,1,uniform_SC,1,1,0,0,0,dataset_iter035
1906,0.28,0.01325,0.5300758155823615,-0.009208409007500029,1,uniform_SC,1,1,0,0,0,dataset_iter035
3625,0.028,0.006625,0.3978451554596006,-0.004622977970583555,1,uniform_SC,1,1,0,0,0,dataset_iter035
3349,0.2076666666666667,0.0,0.5043103166932357,3.754693366708403e-05,1,uniform_SC,1,1,0,0,0,dataset_iter035
2912,0.518,0.01325,0.2936838339588537,-0.009283502874834197,1,uniform_SC,1,1,0,0,0,dataset_iter035
2140,0.0,0.03975,0.3975433994000025,-0.03274102026028776,2,FFLO,1,1,0,0,0,dataset_iter035
4255,0.07,1.09975,0.07393462788858624,-0.6474050269603923,2,FFLO,1,1,0,0,0,dataset_iter035
6189,0.098,0.629375,0.22350923217894483,-0.3088338806967356,2,FFLO,1,1,0,0,0,dataset_iter035
1439,0.0046666666666666,0.7552500000000001,0.1072176685453199,-0.3213135780628041,2,FFLO,1,1,0,0,0,dataset_iter035
3335,0.4806666666666667,0.205375,0.34711800369036117,-0.1455276802770381,2,FFLO,1,1,0,0,0,dataset_iter035
981,0.007,0.7155,0.1153387224321237,-0.29830662388135554,2,FFLO,1,1,0,0,0,dataset_iter035
4308,0.119,0.7221250000000001,0.12375902192877854,-0.31988679458345487,2,FFLO,1,1,0,0,0,dataset_iter035
5101,0.287,0.62275,0.2411524219563935,-0.4543240140401065,2,FFLO,1,1,0,0,0,dataset_iter035
2391,0.147,0.523375,0.39894699185359056,-0.36740728542256773,2,FFLO,1,1,0,0,0,dataset_iter035
3132,0.2333333333333333,0.053,0.5163403918812055,-0.03703078095739981,2,FFLO,1,1,0,0,0,dataset_iter035
1144,0.2776666666666667,0.178875,0.5198500006276124,-0.12582485625829282,2,FFLO,1,1,0,0,0,dataset_iter035
7167,0.07,1.159375,0.056390349831172255,-0.7323693150272428,2,FFLO,1,1,0,0,0,dataset_iter035
2522,0.0116666666666666,1.57675,0.03513738436240852,-1.4680052132835113,2,FFLO,1,1,0,0,0,dataset_iter035
6873,0.0186666666666666,1.378,0.05739327450512759,-1.1128945956882168,2,FFLO,1,1,0,0,0,dataset_iter035
2318,0.0023333333333333,0.94075,0.08365960811879448,-0.46236846810392696,2,FFLO,1,1,0,0,0,dataset_iter035
7390,0.532,0.112625,0.21969912259781338,-0.07898491535471974,2,FFLO,1,1,0,0,0,dataset_iter035
632,0.4153333333333334,0.212,0.45218082769528156,-0.15018820518128864,2,FFLO,1,1,0,0,0,dataset_iter035
5684,0.0,0.616125,0.1518296157756662,-0.2585349167662586,2,FFLO,1,1,0,0,0,dataset_iter035
1943,0.147,0.70225,0.1154388893770319,-0.33575042110909314,2,FFLO,1,1,0,0,0,dataset_iter035
5812,0.518,0.1855,0.2434587721390287,-0.13109083723074905,2,FFLO,1,1,0,0,0,dataset_iter035
5514,0.2496666666666666,0.0265,0.5228575194246049,-0.018459070078199278,2,FFLO,1,1,0,0,0,dataset_iter035
3837,0.469,0.1855,0.3799002096225539,-0.13101574336341487,2,FFLO,1,1,0,0,0,dataset_iter035
5437,0.091,0.94075,0.06811992418441763,-0.4640956270526128,2,FFLO,1,1,0,0,0,dataset_iter035
2823,0.1913333333333333,0.03975,0.4942860908531763,-0.027780119886700563,2,FFLO,1,1,0,0,0,dataset_iter035
7232,0.014,1.3713750000000002,0.05428558876322692,-1.1007903676588193,2,FFLO,1,1,0,0,0,dataset_iter035
2384,0.154,0.7155,0.06701808779042764,-0.3423680916935644,2,FFLO,1,1,0,0,0,dataset_iter035
7416,0.469,0.3975,0.2220054727804486,-0.29297025417109734,2,FFLO,1,1,0,0,0,dataset_iter035
3453,0.2543333333333333,0.033125,0.5241609449332848,-0.02311959498244992,2,FFLO,1,1,0,0,0,dataset_iter035
3871,0.3523333333333334,0.019875,0.5222552625302823,-0.013873639041282915,2,FFLO,1,1,0,0,0,dataset_iter035
3568,0.0046666666666666,0.03975,0.3975433994000025,-0.027780119886700563,2,FFLO,1,1,0,0,0,dataset_iter035
3135,0.2076666666666667,0.019875,0.5042101497483275,-0.013873639041282915,2,FFLO,1,1,0,0,0,dataset_iter035
3217,0.469,0.258375,0.3475186714699939,-0.1846235425861274,2,FFLO,1,1,0,0,0,dataset_iter035
