point_id,kBT,J_A,topology_label,bulk_gap,pfaffian_margin,nearest_neighbor_distance_norm
1610,0.3196666666666667,0.43725,trivial,0.23869720073921286,0.25583119995920134,0.018713799154132644
1131,0.2823333333333334,0.106,trivial,0.4942760865978479,0.4720784068053826,0.018713799154132557
6131,0.126,0.139125,trivial,0.4000359676752372,0.38555125839207416,0.01871379915413246
6283,0.1353333333333333,0.125875,trivial,0.4127643053450181,0.3950781191204553,0.01871379915413246
934,0.2263333333333333,0.106,trivial,0.47907238928654106,0.45604584162852274,0.018713799154132457
1007,0.273,0.09275,trivial,0.4988069545614028,0.47355526243732926,0.018713799154132457
851,0.371,0.33125,trivial,0.3168582096910655,0.3284337065396631,0.018713799154132453
1420,0.3476666666666667,0.17225,trivial,0.45108470478610174,0.4419882688890031,0.018713799154132453
254,0.2193333333333333,0.192125,trivial,0.43459249236658015,0.42907463918674627,0.018713799154132453
1262,0.357,0.159,trivial,0.45498042013516715,0.44308938406454806,0.018713799154132453
631,0.2426666666666667,0.192125,trivial,0.442693278851427,0.43762103588074386,0.018713799154132453
2391,0.147,0.523375,trivial,0.15149514686403645,0.17078850496083867,0.018713799154132443
2380,0.1563333333333333,0.536625,trivial,0.13689482415126714,0.1557728097865168,0.018713799154132443
1071,0.3173333333333333,0.212,trivial,0.4347705556460681,0.4333438988712633,0.01848182585194867
2582,0.1726666666666667,0.477,trivial,0.20705536835735894,0.22734245810241474,0.017643777218082867
2488,0.1656666666666666,0.457125,trivial,0.22479443648875552,0.24484893097490354,0.017643777218082867
944,0.2356666666666667,0.152375,trivial,0.46147667143497323,0.44855518453180876,0.017643777218082857
1675,0.3663333333333333,0.41075,trivial,0.23889101304681318,0.25447814415826986,0.017643777218082787
871,0.322,0.311375,trivial,0.35980027297953937,0.3712322521846469,0.017643777218082767
283,0.3616666666666667,0.2915,trivial,0.35844267511596284,0.3666225283177831,0.017643777218082767
1617,0.1586666666666666,0.35775,trivial,0.3030892438970804,0.31824650612848243,0.017643777218082746
2381,0.189,0.483625,trivial,0.203149243932086,0.22343922585438503,0.017643777218082746
85,0.217,0.09275,trivial,0.4801835512843834,0.4540626454216752,0.017643777218082746
621,0.021,0.245125,trivial,0.30204203031940535,0.3101385824263353,0.017643777218082735
594,0.028,0.22525,trivial,0.3123737307734934,0.3180115660055995,0.017643777218082735
733,0.343,0.245125,trivial,0.4042712182882886,0.40730797208088115,0.01730320823881876
436,0.3523333333333334,0.11925,trivial,0.47845118325916053,0.4585327088152298,0.01730320823881865
832,0.0163333333333333,0.708875,topological,0.10023266346903803,0.17704460389916696,0.01730320823881854
376,0.273,0.5035000000000001,trivial,0.17740651625865875,0.19485171752069208,0.01698868816026135
124,0.2753333333333334,0.477,trivial,0.20874923832222453,0.22711933609701884,0.01698868816026135
312,0.1446666666666666,0.27825,trivial,0.34603028890754356,0.3529625512198661,0.016988688160261337
559,0.0093333333333333,1.185875,topological,0.049697254581467995,0.47218233576125285,0.016988688160261323
57,0.0723333333333333,0.351125,trivial,0.25762601577886346,0.27171704282276177,0.016988688160261303
6140,0.1073333333333333,0.284875,trivial,0.3174035466961802,0.32555754509941615,0.016988688160261296
6185,0.105,0.311375,trivial,0.3012628257680337,0.31195866987650295,0.016988688160261296
1336,0.3546666666666667,0.212,trivial,0.42257130592649145,0.42025137040884003,0.01698868816026127
1559,0.147,0.30475,trivial,0.33175002154983746,0.3417411193411553,0.01698868816026127
1209,0.266,0.3445,trivial,0.3404257031262137,0.3558569934765162,0.01698868816026127
1221,0.378,0.112625,trivial,0.4688132707852551,0.4469642685965522,0.01698868816026127
145,0.2683333333333333,0.318,trivial,0.3620462797208746,0.3751574541965965,0.01698868816026127
2273,0.1213333333333333,0.5565000000000001,trivial,0.1044284349819999,0.1218380653264654,0.01698868816026127
1489,0.1493333333333333,0.33125,trivial,0.31638659887229736,0.329052460463904,0.01698868816026127
4975,0.2426666666666667,0.510125,trivial,0.17463841645236544,0.19298135156283763,0.01698868816026127
740,0.2963333333333333,0.510125,trivial,0.16122709243633104,0.17729914334090616,0.016988688160261257
909,0.021,1.2388750000000002,topological,0.05419981532817561,0.4519830772504203,0.016988688160261157
1441,0.385,0.53,trivial,0.06176407243018238,0.07838660112761828,0.01680672268907557
584,0.2893333333333333,0.22525,trivial,0.42900272703302017,0.43004340729882684,0.01680672268907557
298,0.0233333333333333,0.947375,topological,0.07912984491211707,0.44213950441524263,0.01680672268907557
962,0.28,0.265,trivial,0.40193013536153316,0.40888033955428954,0.016460905349794247
6207,0.0933333333333333,0.298125,trivial,0.30060529905488736,0.31050634700366275,0.016460905349794247
1150,0.3196666666666667,0.099375,trivial,0.49656791687905455,0.4728482137140194,0.01646090534979424
1874,0.392,0.1325,trivial,0.44897938724243847,0.43119105912832745,0.01646090534979424
797,0.0,0.106,trivial,0.36792813989717477,0.3513167611599121,0.016460905349794233
467,0.14,0.424,trivial,0.24508315653568924,0.26350581853206095,0.01646090534979422
92,0.0396666666666666,0.6691250000000001,topological,0.06698829837416631,0.1299868990285317,0.016460905349794164
6121,0.3173333333333333,0.549875,trivial,0.0952248067619953,0.10776873116388846,0.015054150108165722
27,0.301,0.371,trivial,0.31284884260593926,0.32917699131119943,0.015054150108165706
1859,0.0163333333333333,0.8943750000000001,topological,0.0785730156942048,0.38461017038000306,0.0150541501081657
498,0.0746666666666666,0.70225,topological,0.09026242142910271,0.15956737874221122,0.015054150108165675
2289,0.1866666666666666,0.139125,trivial,0.4438665787047125,0.427533907465068,0.015054150108165668
6152,0.0583333333333333,0.5896250000000001,trivial,0.04593860810355817,0.05701913732554614,0.015054150108165663
545,0.0256666666666666,0.271625,trivial,0.28763245581924046,0.29861341864815744,0.015054150108165663
443,0.1656666666666666,0.337875,trivial,0.32020039701178493,0.333815121655724,0.01505415010816566
1479,0.1586666666666666,0.324625,trivial,0.32560801734556294,0.33782264780715665,0.01505415010816566
6143,0.119,0.245125,trivial,0.34640075928862946,0.3495376098797992,0.015054150108165652
2462,0.14,0.4505,trivial,0.2230237646418721,0.24223202322279253,0.015054150108165652
5492,0.252,0.523375,trivial,0.1566338893914866,0.17387543248463813,0.015054150108165645
1620,0.007,1.132875,topological,0.0530578146988088,0.4871648942829971,0.015054150108165637
6223,0.0886666666666666,0.4505,trivial,0.20283821862836207,0.21940672768050112,0.015054150108165623
1513,0.3943333333333333,0.17225,trivial,0.423814503773707,0.41381845813704693,0.015054150108165621
1300,0.3873333333333333,0.1855,trivial,0.4206612660918346,0.41314452583405836,0.015054150108165621
778,0.336,0.324625,trivial,0.3431177583168945,0.355229862561644,0.015054150108165612
1628,0.3453333333333334,0.337875,trivial,0.32679175503637886,0.33959688760528084,0.015054150108165612
280,0.1446666666666666,0.5565000000000001,trivial,0.10838937989131323,0.12614742171222657,0.015054150108165559
464,0.1376666666666667,0.5697500000000001,trivial,0.08740656748936611,0.10412886730995777,0.015054150108165559
43,0.1913333333333333,0.165625,trivial,0.43441193759484337,0.42340631356892516,0.014934265035908072
6288,0.329,0.549875,trivial,0.08733694517141186,0.09963941536780291,0.014934265035908072
697,0.1913333333333333,0.602875,trivial,0.04328335280393381,0.0536256589772727,0.014934265035908072
2371,0.1866666666666666,0.1855,trivial,0.4218638201467777,0.4145894966039405,0.014934265035908072
1415,0.357,0.265,trivial,0.38257028295480994,0.38783814576337405,0.014934265035908072
717,0.021,0.41075,trivial,0.20032326217850038,0.21865859720458497,0.014934265035908062
808,0.0163333333333333,0.390875,trivial,0.214016952156424,0.23209330954792307,0.014934265035908062
156,0.014,0.27825,trivial,0.2839630561064917,0.2955864636699736,0.014934265035908062
3876,0.1073333333333333,0.5565000000000001,trivial,0.10259449332491408,0.1194288945666156,0.014934265035908056
793,0.343,0.311375,trivial,0.3515197970405044,0.36224893471575964,0.014934265035908032
2581,0.1913333333333333,0.51675,trivial,0.1661227642667227,0.18556575586027158,0.014934265035908027
2226,0.105,0.53,trivial,0.13602045439845076,0.15346456174697717,0.014934265035907963
964,0.0116666666666666,0.424,trivial,0.19084192104832495,0.20924847335139893,0.014934265035907958
943,0.007,0.404125,trivial,0.2049372084381442,0.2232124788696339,0.014934265035907958
304,0.063,0.7486250000000001,topological,0.11939251299103894,0.2142529693454681,0.014934265035907954
321,0.0676666666666666,0.7685000000000001,topological,0.11578795374472794,0.23662015348828017,0.014934265035907954
1268,0.35,0.086125,trivial,0.49478004907403045,0.467591956687801,0.014934265035907942
728,0.056,0.954,topological,0.09162250743316523,0.4460969739603531,0.014934265035907909
160,0.2006666666666667,0.1325,trivial,0.4549687146890063,0.4373327828523456,0.013259795324736265
71,0.1656666666666666,0.165625,trivial,0.4183323540134491,0.40735538788143594,0.013259795324736262
2347,0.1726666666666667,0.159,trivial,0.4260748246398975,0.41376970631479604,0.013259795324736262
849,0.3803333333333333,0.3445,trivial,0.29677864802810755,0.30925483912269225,0.013259795324736168
918,0.3873333333333333,0.351125,trivial,0.28403073715373084,0.2970068987897652,0.013259795324736168
1630,0.385,0.404125,trivial,0.22945957251167637,0.24512450887891957,0.01325979532473616
494,0.3266666666666667,0.35775,trivial,0.31698651907703473,0.3317171826696234,0.01325979532473616
1154,0.3196666666666667,0.364375,trivial,0.3134284728562237,0.32878558345177383,0.01325979532473616
6120,0.3383333333333334,0.53,trivial,0.10945232603130037,0.12315803328824648,0.01325979532473615
5356,0.1026666666666666,0.218625,trivial,0.34728565700510705,0.3476705211732925,0.013259795324736107
541,0.028,0.483625,trivial,0.14774983004265752,0.16442806949800626,0.013259795324736102
5360,0.196,0.536625,trivial,0.1418124548383173,0.1601613431576115,0.013259795324736099
6235,0.0746666666666666,0.6095,topological,0.009549410483389633,0.025172457402401538,0.013259795324736099
6211,0.1166666666666666,0.51675,trivial,0.15286245722827843,0.17124872343340222,0.01325979532473609
916,0.0093333333333333,0.8546250000000001,topological,0.08028366407253408,0.3403920542823859,0.013259795324736085
384,0.021,1.04675,topological,0.06908925559807715,0.49855414187467484,0.013259795324736085
6246,0.0956666666666666,0.2385,trivial,0.33269100249709355,0.336173957565139,0.013259795324736081
1354,0.3943333333333333,0.265,trivial,0.35640083862544025,0.3610325778380867,0.013259795324736054
1175,0.35,0.404125,trivial,0.2581619559102881,0.2738929216197117,0.013259795324736054
1817,0.399,0.112625,trivial,0.4539321137075321,0.4319463906310944,0.013259795324736052
669,0.3966666666666667,0.5035000000000001,trivial,0.08557052657604092,0.10493126655309579,0.01325979532473594
229,0.1306666666666666,0.324625,trivial,0.30994637087497895,0.32174058560324686,0.01304108548962056
2555,0.1376666666666667,0.54325,trivial,0.12526417084218633,0.14367869460326682,0.013041085489620541
2173,0.1353333333333333,0.523375,trivial,0.1491933423000769,0.1682302729023206,0.013041085489620541
5467,0.112,0.231875,trivial,0.347850404167536,0.3495059236333951,0.01304108548962054
6157,0.1096666666666666,0.212,trivial,0.3555675756269891,0.35456664075182187,0.01304108548962054
623,0.4316666666666667,0.390875,trivial,0.18432810561320906,0.20589360061812412,0.013041085489620506
5407,0.3896666666666667,0.46375,trivial,0.15080997512270675,0.16838450465765714,0.013041085489620506
1844,0.3873333333333333,0.2385,trivial,0.3831568165805187,0.384219767728216,0.013041085489620506
1638,0.357,0.3975,trivial,0.26050818585503627,0.27587960570087755,0.013041085489620506
1474,0.427,0.324625,trivial,0.2653738563220088,0.2790239430422701,0.013041085489620506
987,0.3103333333333333,0.404125,trivial,0.27779671568254904,0.2949958463064027,0.013041085489620498
90,0.07,0.324625,trivial,0.27111908659449535,0.2840001786885424,0.013041085489620498
1183,0.4176666666666667,0.33125,trivial,0.2710564233521882,0.28414119381819386,0.013041085489620498
412,0.0723333333333333,0.30475,trivial,0.28336467084914446,0.2948299339612298,0.013041085489620498
1111,0.308,0.38425,trivial,0.29832257779434707,0.31499567654238214,0.013041085489620498
930,0.0,0.0795,trivial,0.37602337587444035,0.3554408241048299,0.013041085489620493
214,0.0513333333333333,0.795,topological,0.11037836371545728,0.26720409294063185,0.013041085489620493
236,0.0536666666666666,0.7751250000000001,topological,0.1135621117999338,0.2447302444953632,0.013041085489620493
1189,0.2543333333333333,0.159,trivial,0.46369940652444575,0.45244746600508245,0.013041085489620489
5509,0.091,0.7353750000000001,topological,0.11750311394287001,0.19845568964062665,0.013041085489620489
654,0.0443333333333333,0.125875,trivial,0.35817885955567763,0.34775502753859344,0.013041085489620487
657,0.0466666666666666,0.106,trivial,0.3661255418387569,0.35179012311847824,0.013041085489620487
1097,0.2636666666666667,0.152375,trivial,0.46921127617584985,0.45673967450551295,0.013041085489620477
128,0.266,0.17225,trivial,0.4590311700494385,0.45055106365449876,0.013041085489620477
1247,0.392,0.106,trivial,0.4626319064501375,0.4391999596205203,0.013041085489620472
6242,0.091,0.3445,trivial,0.27321830963266136,0.2865085799134426,0.013041085489620463
6158,0.0933333333333333,0.324625,trivial,0.2860592451607165,0.29801918321647786,0.013041085489620463
6244,0.1073333333333333,0.4902500000000001,trivial,0.17700406262761856,0.19498813015136304,0.013041085489620446
2158,0.1096666666666666,0.510125,trivial,0.15834224678504324,0.1763899122039589,0.013041085489620446
194,0.0303333333333333,1.06,topological,0.07419347826004719,0.4964275438095568,0.013041085489620439
8,0.028,1.0401250000000002,topological,0.07468336429946516,0.4978957246807932,0.013041085489620439
2260,0.056,1.0865,topological,0.073415158146858,0.4935239327847087,0.013041085489620394
1083,0.3826666666666667,0.377625,trivial,0.26085491791357246,0.2753211164905277,0.012605042016806789
252,0.1586666666666666,0.5830000000000001,trivial,0.07059301455407083,0.08555320386208529,0.012605042016806733
10,0.1656666666666666,0.5830000000000001,trivial,0.07195560127171284,0.08677233491930295,0.012605042016806733
5699,0.007,1.2123750000000002,topological,0.046669632142103144,0.46315356643897826,0.012605042016806723
1574,0.0093333333333333,1.0865,topological,0.0576592339619661,0.49587875747821436,0.01260504201680672
585,0.042,1.0268750000000002,topological,0.08223658547438278,0.4968534753245922,0.01260504201680672
6264,0.0886666666666666,0.404125,trivial,0.23503859879734604,0.2508064633693928,0.012605042016806706
581,0.385,0.496875,trivial,0.11071020548106779,0.12800026250059052,0.012605042016806678
917,0.3523333333333334,0.377625,trivial,0.28433818058071336,0.2991413336046572,0.012605042016806567
7217,0.105,0.7353750000000001,topological,0.10756164420939546,0.19951714930597522,0.012345679012345678
5286,0.133,0.46375,trivial,0.2089939188351377,0.22816861640236358,0.012345679012345678
1178,0.329,0.1855,trivial,0.4489528492594149,0.44270919843673306,0.012345679012345678
539,0.0256666666666666,0.1325,trivial,0.35506119838950395,0.3459686407208971,0.012345679012345678
6249,0.0676666666666666,0.602875,topological,0.005010621766273552,0.014900542125301619,0.012345679012345678
592,0.0256666666666666,0.152375,trivial,0.34670942202191957,0.3411899207062497,0.012345679012345678
1932,0.0723333333333333,0.901,topological,0.09271881430722155,0.38845693022829053,0.012345679012345623
677,0.0,1.23225,topological,0.044578344302969725,0.4558122268569269,0.012345679012345623
1457,0.0,1.166,topological,0.04888447619941812,0.4761804093355041,0.012345679012345623
3142,0.0,1.146125,topological,0.05189534975325408,0.48317889976441547,0.012345679012345623
1618,0.0,1.2123750000000002,topological,0.04605884820831248,0.46350567333966963,0.012345679012345623
1056,0.3336666666666666,0.5763750000000001,trivial,0.0434399785802005,0.05242825564316439,0.011762518145388604
528,0.2846666666666667,0.536625,trivial,0.13031629278794027,0.1451687418039764,0.011762518145388564
2339,0.259,0.072875,trivial,0.5037193267061126,0.47372012136674146,0.01176251814538855
1062,0.259,0.11925,trivial,0.4843105102178227,0.46477515321923557,0.01176251814538855
830,0.2426666666666667,0.0795,trivial,0.49615153702953796,0.46744457352466384,0.01176251814538855
816,0.2636666666666667,0.106,trivial,0.49131398243871893,0.46891772641309937,0.01176251814538855
1543,0.3686666666666667,0.364375,trivial,0.28637647426898494,0.3001644743231452,0.011762518145388545
104,0.3826666666666667,0.318,trivial,0.32009584896862553,0.3304489265278828,0.011762518145388545
