triangle_id,point_ids,center_kBT,center_J_A,circumradius_norm,topology_labels,contains_z2_change,bulk_gap_min,pfaffian_margin_min
13,6812;2640;3046,0.1431111111111111,0.9827083333333334,0.4493187036404613,topological,False,0.002025367209052305,0.08217687596948625
250,1732;6812;3046,0.2022222222222222,0.8215,0.39219842227324203,topological,False,0.002025367209052305,0.08217687596948625
251,7253;1732;3046,0.13922222222222222,0.9628333333333335,0.38646066734529144,topological,False,0.004081673279832171,0.0926405939250991
249,1732;7253;2210,0.14155555555555555,0.9407500000000001,0.37911037654840085,topological,False,0.004081673279832171,0.0926405939250991
1584,1173;1732;2210,0.1921111111111111,0.8038333333333334,0.33956324660991904,topological,False,0.0007948827632122827,0.0926405939250991
1583,2722;1173;2210,0.13766666666666666,0.9208750000000001,0.32116618776777306,topological,False,0.0007948827632122827,0.1060022822117058
991,5935;2405;1719,0.04277777777777774,1.4265833333333333,0.2954721386987079,topological,False,0.02310901997843619,0.35104300718424664
1582,1173;2722;1092,0.1804444444444444,0.7927916666666667,0.2794929318428945,topological,False,0.0007948827632122827,0.1060022822117058
267,7174;6689;1719,0.05133333333333331,1.36475,0.2743705262005534,topological,False,0.017345110082001975,0.3790111121623205
98,2722;5551;1092,0.13299999999999998,0.8987916666666668,0.2724567995990987,topological,False,0.0019791527777134545,0.1209189334592719
1353,4172;2125;5394,0.40677777777777785,0.549875,0.25178454995874755,trivial,False,6.559718160225663e-05,0.009645211633659612
273,5551;627;1092,0.1353333333333333,0.8744999999999999,0.2502849471401896,topological,False,0.0019791527777134545,0.1209189334592719
3464,7174;1577;6689,0.05366666666666663,1.3470833333333332,0.24155936083250643,topological,False,0.017345110082001975,0.3893922091153631
274,627;2933;1092,0.1703333333333333,0.7729166666666667,0.2408249733358211,topological,False,0.00016376781426613444,0.1209189334592719
534,627;3296;2933,0.1322222222222222,0.854625,0.23331300171886404,topological,False,0.00016376781426613444,0.13566220892164405
35,6757;2986;7411,0.4363333333333333,0.5079166666666667,0.2222212573131117,trivial,False,0.00036188015076304855,0.03339875172546192
790,5065;5012;7122,0.47755555555555557,0.42841666666666667,0.21252514147972523,trivial,False,0.0012066413672719102,0.0778873000483289
533,2933;3296;2709,0.13377777777777775,0.8413750000000001,0.211781277382734,topological,False,0.00016376781426613444,0.13566220892164405
103,7303;2933;2709,0.16177777777777771,0.7640833333333333,0.20372729025922623,topological,False,0.00016376781426613444,0.13566220892164405
107,2190;7303;2709,0.15399999999999994,0.7685,0.19363418075806302,topological,False,0.0025176291295930593,0.1487731553120518
97,2722;2210;2762,0.08866666666666663,1.0423333333333333,0.19224417722260903,topological,False,0.021098526184426095,0.5041130852822593
529,2758;627;5551,0.09566666666666664,0.9694583333333333,0.19224417722260412,topological,False,0.02464614450027529,0.45101592889280484
275,2656;7253;3046,0.08166666666666662,1.1085833333333335,0.19224417722260412,topological,False,0.020726105683926355,0.4918404196830595
926,7337;2640;2631,0.07466666666666665,1.1748333333333336,0.19224417722259096,topological,False,0.01832289779940172,0.4717716658165818
110,6982;2190;2709,0.12755555555555553,0.8325416666666667,0.18938447187360488,topological,False,0.0025176291295930593,0.1605992183120292
368,955;957;1273,0.0023333333333333,0.3268333333333333,0.18917857949701875,trivial,False,0.19008553301573244,0.20901439298946695
111,2190;6982;2812,0.12988888888888886,0.8148750000000001,0.17631356873949897,topological,False,0.0025176291295930593,0.1605992183120292
109,6998;2190;2812,0.13299999999999998,0.795,0.16425867543873485,topological,False,0.0025176291295930593,0.1605992183120292
108,2190;6998;5113,0.14777777777777776,0.7508333333333335,0.16142345482703352,topological,False,0.0025176291295930593,0.1605992183120292
2425,3446;1173;1092,0.22788888888888884,0.6779583333333333,0.1565099595283933,topological,False,0.0007948827632122827,0.10578236907844485
605,6998;3977;5113,0.13922222222222222,0.7596666666666668,0.15459029700844534,topological,False,0.011997635729834151,0.19042368202542403
26,4845;7085;626,0.005444444444444433,1.5657083333333333,0.15322939729159246,topological,False,0.023038333249840302,0.2720640328973531
607,4971;2190;5113,0.16488888888888886,0.7110833333333334,0.14969779641330452,topological,False,0.0025176291295930593,0.1605992183120292
1378,5065;1480;5012,0.4791111111111111,0.424,0.14770395446215456,trivial,False,0.004900056680035692,0.08262400072185538
606,3977;6998;5936,0.13377777777777777,0.7685000000000001,0.13434977168575812,topological,False,0.012798869935527016,0.19944112991596163
105,5936;6998;3131,0.12444444444444443,0.7905833333333333,0.13304186344715505,topological,False,0.019684276195306837,0.22467566048715842
1014,6111;7085;4845,0.0031111111111111005,1.5392083333333335,0.12284874344519886,topological,False,0.02126589358639925,0.29052786908714884
2424,7251;3446;1092,0.2263333333333333,0.6779583333333333,0.12219430966784899,topological,False,0.0019791527777134545,0.10559915852271037
2405,1732;6855;6812,0.26599999999999996,0.6647083333333335,0.12219430966784799,topological,False,0.002025367209052305,0.08135741478303696
1581,1732;1173;6734,0.24733333333333332,0.6713333333333334,0.12219430966784567,topological,False,0.0007948827632122827,0.0921617258466293
369,957;828;1273,0.0038888888888888667,0.35554166666666664,0.10224088753511135,trivial,False,0.19008553301573244,0.20901439298946695
1346,3532;2157;7411,0.44955555555555554,0.48583333333333334,0.09925448336198481,trivial,False,0.00022850794075670512,0.04931217964164086
36,2882;2986;6757,0.43322222222222223,0.5123333333333334,0.09925448336198162,trivial,False,0.00036188015076304855,0.03339875172546192
604,4165;3977;5936,0.14388888888888887,0.7375833333333334,0.09925448336197952,topological,False,0.012798869935527016,0.19944112991596163
957,2603;4818;847,0.0171111111111111,1.6142916666666671,0.09629684122997101,topological,False,0.022988042515000997,0.2632038970095175
288,6998;2636;3131,0.11744444444444439,0.8126666666666668,0.09629684122996711,topological,False,0.024121096563994564,0.2796900212096345
1377,1480;5617;5012,0.48066666666666674,0.41958333333333336,0.0946553113007406,trivial,False,0.0058729349006749415,0.0871977121332067
