kBT,JA,phase,phase_label,predicted_phase_before_exact,distance_to_normal_sc_boundary,distance_to_uniform_fflo_boundary,distance_to_old_curve_1,distance_to_old_curve_2,Delta_opt,q_opt,eta,Ic_plus,Ic_minus,eta_denominator_diagnostic,abs_Ic_plus,abs_Ic_minus,min_abs_Ic,F_SC,F_normal,DeltaF,free_energy_gap_to_normal,positive_delta_gap,delta_status,delta_boundary_ambiguous,delta_unresolved,delta_unresolved_requiring_rerun,delta_boundary_band_normal,needs_rerun_exact,q_min,q_max,q_edge_hit,q_expanded,q_unresolved,trusted_exact,training_eligible_exact,source_iteration,selection_source,A0_main,A0_main_raw,A0_for_pool,Aselect,B_delta_raw,U_NS,B_delta_gated,response_reliability,eta_positive_strong,n_q,coord_key,audit_roles
0.0373333333333333,1.344875,FFLO,2,0.0,0.0074672876417434,0.6270953501928611,0.3513561320754717,0.3536798743814824,0.0616541353383458,-1.0518537074148298,-0.0187229298446188,0.0015803339224325,-0.001640639991046,0.0032209739134785,0.0015803339224325,0.001640639991046,0.0015803339224325,,,-8.328019285608335e-05,-8.328019285608335e-05,,0,0,0,False,0,0,-1.375,0.5,0,1,0,1,1,12,acquisition_stochastic,1.3031985547064997,1.3031985547064997,1.3031985547064997,0.2935398374051707,0.5527863737501332,0.9786866373355924,0.5410046372904538,clean,False,,"0.03733333,1.34487500",phase_qwindow_boundary_sensitive
0.0396666666666666,1.344875,FFLO,2,0.0,0.0061967147435898,0.6270997797711801,0.3513561320754717,0.3532272824490072,0.0601503759398496,-1.0518537074148298,-0.0209949131870584,0.0013163034275632,-0.0013727600825118,0.002689063510075,0.0013163034275632,0.0013727600825118,0.0013163034275632,,,-6.790163772851798e-05,-6.790163772851798e-05,,0,0,0,False,0,0,-1.375,0.5,0,1,0,1,1,1,acquisition_stochastic,1.0873357027974726,1.0873357027974726,1.0873357027974726,0.1686723296688008,0.7208433620784703,0.8414139050754907,0.6065276282341916,clean,False,,"0.03966667,1.34487500",phase_qwindow_boundary_sensitive
0.049,1.344875,FFLO,2,0.0,0.0030579637096773,0.6270952574482306,0.3513561320754717,0.3519047788589564,0.0466165413533834,-1.0480961923847696,-0.0168889156176798,0.0004336762709556,-0.0004485765646496,0.0008822528356053,0.0004336762709556,0.0004485765646496,0.0004336762709556,,,-1.743652650931793e-05,-1.743652650931793e-05,,0,0,0,False,0,0,-1.375,0.5,0,1,0,1,1,12,acquisition_stochastic,0.6058579366839042,0.6058579366839042,0.6058579366839042,0.0026051652779434,0.5804781619783248,0.5836743893585855,0.3388102367286928,clean,False,,"0.04900000,1.34487500",phase_qwindow_boundary_sensitive
0.056,1.344875,normal,0,0.0,0.0074316620411885,0.6270999638748518,0.3515194553156392,0.3514287295529487,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,6.148272557737755e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,18,acquisition_stochastic,0.4333020912934477,0.4333020912934477,0.4333020912934477,0.0015277085312544,0.5753476356152745,0.2789545447443927,0.1604958377628216,delta_ambiguous,False,,"0.05600000,1.34487500",near_zero_delta_refinement;phase_qwindow_boundary_sensitive
0.0,1.3382500000000002,FFLO,2,2.0,0.0061856646678968,0.6229439434524008,0.3486886847857054,0.3643412043446354,0.0496240601503759,-1.036823647294589,0.6412377962794812,0.0008473706524519,-0.0001852288335857,0.0010325994860376,0.0008473706524519,0.0001852288335857,0.0001852288335857,,,-0.0001348201349851,-0.0001348201349851,,0,0,0,False,0,0,-1.375,0.5,0,1,0,1,1,14,acquisition_stochastic,0.5004754992825556,0.5004754992825556,0.5004754992825556,0.0045888539177155,0.3411911960841988,0.0293925836444268,0.0100284907696468,clean,True,,"0.00000000,1.33825000",phase_qwindow_boundary_sensitive
0.0023333333333333,1.3382500000000002,FFLO,2,2.0,0.0074095875265916,0.6229389269294606,0.3485001441676698,0.3631377385394602,0.0496240601503759,-1.036823647294589,0.5837322402277141,0.0008161287128183,-0.0002145110532837,0.0010306397661021,0.0008161287128183,0.0002145110532837,0.0002145110532837,,,-0.0001384747440573,-0.0001384747440573,,0,0,0,False,0,0,-1.375,0.5,0,1,0,1,1,9,acquisition_stochastic,0.477969008658217,0.477969008658217,0.477969008658217,0.0131449336908921,0.2986737660546628,0.1126884736183924,0.0336570908065567,clean,True,,"0.00233333,1.33825000",phase_qwindow_boundary_sensitive
0.0093333333333333,1.3382500000000002,FFLO,2,2.0,0.0102017130389948,0.6230910768237348,0.3482331669731141,0.3597928048052776,0.0526315789473684,-1.0405811623246493,0.0005416853544922,0.0046697842351626,-0.0046647278666657,0.0093345121018284,0.0046697842351626,0.0046647278666657,0.0046647278666657,,,-0.0001766314612934,-0.0001766314612934,,0,0,0,False,0,0,-1.375,0.5,0,1,0,1,1,16,acquisition_stochastic,0.5491133001068857,0.5491133001068857,0.5491133001068857,0.0017634266495743,0.4014864366023845,0.2595786100373415,0.1042172911620922,clean,False,,"0.00933333,1.33825000",phase_qwindow_boundary_sensitive
0.014,1.3382500000000002,FFLO,2,2.0,0.0092598684921462,0.6233317656091026,0.3482311320754718,0.357788164038662,0.0571428571428571,-1.0405811623246493,-0.0171456555307646,0.0045118842241929,-0.0046693016749841,0.009181185899177,0.0045118842241929,0.0046693016749841,0.0045118842241929,,,-0.0001920938781108,-0.0001920938781108,,0,0,0,False,0,0,-1.375,0.5,0,1,0,1,1,15,acquisition_stochastic,0.5083203814897412,0.5083203814897412,0.5083203814897412,0.018698729896375,0.4132005569918496,0.3528275598434242,0.145788544249378,clean,False,,"0.01400000,1.33825000",phase_qwindow_boundary_sensitive
0.021,1.3382500000000002,FFLO,2,2.0,0.0093245589309983,0.6239013597388836,0.3482311320754718,0.3551268067853863,0.0631578947368421,-1.0405811623246493,-0.0202704879620687,0.0036757300192363,-0.0038278308597055,0.0075035608789418,0.0036757300192363,0.0038278308597055,0.0036757300192363,,,-0.0001846562341216,-0.0001846562341216,,0,0,0,False,0,0,-1.375,0.5,0,1,0,1,1,4,acquisition_stochastic,0.889715752764611,0.889715752764611,0.889715752764611,0.0874216990362,0.532009002529306,0.8650275114438302,0.4602024235236399,clean,False,,"0.02100000,1.33825000",phase_qwindow_boundary_sensitive
0.0256666666666666,1.3382500000000002,FFLO,2,2.0,0.0124506956173286,0.6239749949952647,0.3482311320754718,0.3535870176580515,0.0646616541353383,-1.0405811623246493,-0.0203024024478902,0.0030901602565774,-0.0032182358531988,0.0063083961097762,0.0030901602565774,0.0032182358531988,0.0030901602565774,,,-0.0001645096226505,-0.0001645096226505,,0,0,0,False,0,0,-1.375,0.5,0,1,0,1,1,7,acquisition_stochastic,0.7561480129660438,0.7561480129660438,0.7561480129660438,0.4036987858991687,0.4880167678838882,0.7642639578472886,0.372973626518782,clean,False,,"0.02566667,1.33825000",phase_qwindow_boundary_sensitive
