kBT,JA,phase,phase_label,predicted_phase_before_exact,distance_to_normal_sc_boundary,distance_to_uniform_fflo_boundary,distance_to_old_curve_1,distance_to_old_curve_2,Delta_opt,q_opt,eta,Ic_plus,Ic_minus,eta_denominator_diagnostic,abs_Ic_plus,abs_Ic_minus,min_abs_Ic,F_SC,F_normal,DeltaF,free_energy_gap_to_normal,positive_delta_gap,delta_status,delta_boundary_ambiguous,delta_unresolved,delta_unresolved_requiring_rerun,delta_boundary_band_normal,needs_rerun_exact,q_min,q_max,q_edge_hit,q_expanded,q_unresolved,trusted_exact,training_eligible_exact,source_iteration,selection_source,A0_main,A0_main_raw,A0_for_pool,Aselect,B_delta_raw,U_NS,B_delta_gated,response_reliability,eta_positive_strong,audit_role,n_q,coord_key
0.0653333333333333,1.3117500000000002,normal,0,0.0,0.0051336140583026,0.6114751226577746,0.3368458246705246,0.3357311320754717,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,7.582624084179201e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,10,acquisition_stochastic,0.6239697414391733,0.6239697414391733,0.6239697414391733,0.0008593803797686,0.6049330719860424,0.4403043496018888,0.2663546628134869,delta_ambiguous,False,near_zero_delta_refinement,,"0.06533333,1.31175000"
0.0583333333333333,1.331625,normal,0,0.0,0.0001458333333333,0.6208452726235922,0.3454268158957221,0.3451189651494735,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.1755374451638543e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,11,acquisition_stochastic,0.5306331475492273,0.5306331475492273,0.5306331475492273,0.0012089831896378,0.5823929727882076,0.3718526018064078,0.2165643422050634,delta_ambiguous,False,near_zero_delta_refinement,,"0.05833333,1.33162500"
0.0676666666666666,1.291875,normal,0,0.0,0.0126163905213281,0.6020953200399939,0.3278773813651018,0.3263561320754717,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,7.464295181947023e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,11,acquisition_stochastic,0.7935504389814725,0.7935504389814725,0.7935504389814725,0.1494701940317278,0.5937108260616969,0.6540139199531079,0.3882951446712082,delta_ambiguous,False,near_zero_delta_refinement,,"0.06766667,1.29187500"
0.0653333333333333,1.2985000000000002,normal,0,0.0,0.0099947433201106,0.6052251884665248,0.3306168975521705,0.3294811320754717,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,4.768275996269722e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,12,acquisition_stochastic,0.8896055108339687,0.8896055108339687,0.8896055108339687,0.0952753823198324,0.5884498616223173,0.8507624799259383,0.500631063585878,delta_ambiguous,False,near_zero_delta_refinement,,"0.06533333,1.29850000"
0.021,1.3581250000000002,normal,0,2.0,6.758130081285338e-05,0.633262090633908,0.3576061320754718,0.3643244066062555,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3.730111330924046e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,13,acquisition_stochastic,0.91493919227322,0.91493919227322,0.91493919227322,0.4685030536552899,0.5311248003643142,0.8779070033644141,0.4662781819003577,delta_ambiguous,False,near_zero_delta_refinement,,"0.02100000,1.35812500"
0.0746666666666666,1.20575,normal,0,0.0,0.0002309027777778,0.5614754845285435,0.289106334383899,0.2845181648593344,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.3614807886929157e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,13,acquisition_stochastic,1.5472025557750322,1.5472025557750322,1.5472025557750322,0.6618836220869166,0.5109474339913066,0.999765992806618,0.5108278686163126,delta_ambiguous,False,near_zero_delta_refinement,,"0.07466667,1.20575000"
0.063,1.318375,normal,0,0.0,0.0004013168160659,0.6145952881075989,0.3396503809895905,0.3388561320754716,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,4.864171732066325e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,14,acquisition_stochastic,0.7319691821684948,0.7319691821684948,0.7319691821684948,0.1843719100683908,0.5148226348144213,0.6770856104870632,0.3485789979858808,delta_ambiguous,False,near_zero_delta_refinement,,"0.06300000,1.31837500"
0.0863333333333333,1.106375,normal,0,0.0,0.004298611111111,0.514601322328111,0.2475111912862014,0.2353188520069978,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,4.104138584537509e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,14,acquisition_stochastic,1.487307693022048,1.487307693022048,1.487307693022048,0.4465120624224637,0.4159930678766934,0.9884029716212094,0.4111687844631472,delta_ambiguous,False,near_zero_delta_refinement,,"0.08633333,1.10637500"
0.0793333333333333,1.185875,normal,0,0.0,0.0054678274023358,0.5520954622291896,0.2812765114758982,0.2741327257503065,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,6.578578126692491e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,14,acquisition_stochastic,1.315322650606505,1.315322650606505,1.315322650606505,0.4924773332118264,0.4832580207721941,0.9706652759958164,0.4690817801100338,delta_ambiguous,False,near_zero_delta_refinement,,"0.07933333,1.18587500"
0.0443333333333333,1.3581250000000002,normal,0,0.0,0.0040879312176974,0.6333452425723768,0.3576061320754718,0.3586987774324578,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,4.996154823189158e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,14,acquisition_stochastic,0.7105436411756613,0.7105436411756613,0.7105436411756613,0.0434052920613636,0.5134837441345974,0.6059476986153498,0.3111442930347524,delta_ambiguous,False,near_zero_delta_refinement,,"0.04433333,1.35812500"
0.07,1.278625,normal,0,0.0,0.0076932809481087,0.5958695196798599,0.3220922942207728,0.3196883667201136,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,8.755302927099251e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,14,acquisition_stochastic,0.8669508058907448,0.8669508058907448,0.8669508058907448,0.001120286334296,0.532521765707982,0.7928497555684003,0.4222097517764265,delta_ambiguous,False,near_zero_delta_refinement,,"0.07000000,1.27862500"
0.0746666666666666,1.2388750000000002,normal,0,0.0,0.0125027851835372,0.5771003021911033,0.3045582228133947,0.3000086415791791,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,8.776938731358541e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,15,acquisition_stochastic,0.6378740907850635,0.6378740907850635,0.6378740907850635,0.3266293123496153,0.6224582189182302,0.5328823636811753,0.3316970069899209,delta_ambiguous,False,near_zero_delta_refinement,,"0.07466667,1.23887500"
0.042,1.3581250000000002,normal,0,0.0,9.895833333326793e-05,0.6333499025553257,0.3576061320754718,0.3590477808917441,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.445770252990087e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,15,acquisition_stochastic,0.5016299405711722,0.5016299405711722,0.5016299405711722,0.018962074626575,0.5578021524604259,0.412659109582944,0.2301821395577689,delta_ambiguous,False,near_zero_delta_refinement,,"0.04200000,1.35812500"
0.0746666666666666,1.219,normal,0,0.0,0.0031361221828364,0.5677254103891798,0.2952849034946389,0.2907143555472722,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,4.918357499050785e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,15,acquisition_stochastic,0.7596089917246802,0.7596089917246802,0.7596089917246802,0.001069206055175,0.5752218354905607,0.7200480021807123,0.4141873334557006,delta_ambiguous,False,near_zero_delta_refinement,,"0.07466667,1.21900000"
0.0816666666666666,1.172625,normal,0,0.0,0.0087627140393297,0.545871880099632,0.2759618738244955,0.2673909585238082,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,8.061764589228915e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,15,acquisition_stochastic,0.7422227021632442,0.7422227021632442,0.7422227021632442,0.0061977897345459,0.5526772679051102,0.6599698828650639,0.3647503517615191,delta_ambiguous,False,near_zero_delta_refinement,,"0.08166667,1.17262500"
0.063,1.331625,normal,0,0.0,0.0066187351096386,0.6208452726235922,0.3458860295781219,0.3451061320754717,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,9.390946242859854e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,16,acquisition_stochastic,0.4498932572242615,0.4498932572242615,0.4498932572242615,0.015527864691139,0.6122385920655671,0.3116873538970814,0.1908270267145912,delta_ambiguous,False,near_zero_delta_refinement,,"0.06300000,1.33162500"
0.077,1.185875,normal,0,0.0,0.0035406249999999,0.5521008079978151,0.2805304423456647,0.2746783022888671,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.605869076077738e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,16,acquisition_stochastic,1.2746295453171572,1.2746295453171572,1.2746295453171572,0.6526858170507478,0.5203367099989913,0.9779473959782992,0.508861930575429,delta_ambiguous,False,near_zero_delta_refinement,,"0.07700000,1.18587500"
0.07,1.2388750000000002,normal,0,0.0,0.0131165789999983,0.577120356908771,0.3034650367728889,0.3010997946563002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,7.256328871108052e-10,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,16,acquisition_stochastic,1.3720589317669565,1.3720589317669565,1.3720589317669565,0.0039368585441099,0.5737350293394362,0.9777383955675948,0.5609627670672673,delta_ambiguous,False,near_zero_delta_refinement,,"0.07000000,1.23887500"
0.049,1.3515,normal,0,0.0,6.70362903225599e-05,0.6302202499734221,0.3544811320754716,0.3550249495940288,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.928992965360976e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,17,acquisition_stochastic,0.5549750802417335,0.5549750802417335,0.5549750802417335,0.0831848901980926,0.6210848394863284,0.419219101205223,0.2603706281816488,delta_ambiguous,False,near_zero_delta_refinement,,"0.04900000,1.35150000"
0.056,1.344875,normal,0,0.0,0.0074316620411885,0.6270999638748518,0.3515194553156392,0.3514287295529487,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,6.148272557737755e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,18,acquisition_stochastic,0.4333020912934477,0.4333020912934477,0.4333020912934477,0.0015277085312544,0.5753476356152745,0.2789545447443927,0.1604958377628216,delta_ambiguous,False,near_zero_delta_refinement,,"0.05600000,1.34487500"
0.0653333333333333,1.2852500000000002,normal,0,0.0,0.0103039158336691,0.598975255648629,0.3243887810884943,0.3232311320754717,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.9621753111209728e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,18,acquisition_stochastic,0.987502336960361,0.987502336960361,0.987502336960361,0.1031532111245974,0.5605474753310139,0.9131627143795624,0.5118710541118794,delta_ambiguous,False,near_zero_delta_refinement,,"0.06533333,1.28525000"
0.0746666666666666,1.2123750000000002,normal,0,0.0,0.0002638888888889,0.5646004472536863,0.2921952391490431,0.2876162602033034,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3.638049861365289e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,18,acquisition_stochastic,0.929732428977696,0.929732428977696,0.929732428977696,0.1851227399431435,0.5576524804241167,0.8955170314147151,0.4993872938304575,delta_ambiguous,False,near_zero_delta_refinement,,"0.07466667,1.21237500"
0.077,1.17925,normal,0,0.0,0.0004156249999999,0.5489758481748904,0.2774524623826261,0.2715802069448981,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.3589480651887698e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,19,acquisition_stochastic,1.24466569470304,1.24466569470304,1.24466569470304,0.4863104970827123,0.491485609355049,0.9769274812105476,0.4801457983984591,delta_ambiguous,False,near_zero_delta_refinement,,"0.07700000,1.17925000"
0.0676666666666666,1.265375,normal,0,0.0,0.0001924189814814,0.5895953533263831,0.3154376704024895,0.3138561320754716,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.9807993023590598e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,19,acquisition_stochastic,1.012225178209123,1.012225178209123,1.012225178209123,0.5234507325427545,0.5628825239619446,0.9126832012941364,0.513733423922111,delta_ambiguous,False,near_zero_delta_refinement,,"0.06766667,1.26537500"
0.0606666666666666,1.331625,normal,0,0.0,0.0043125,0.62085002642896,0.3456313848415334,0.3451061320754717,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,5.343610443020452e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,19,acquisition_stochastic,0.4764541076990231,0.4764541076990231,0.4764541076990231,0.0072476786111332,0.5950003448247396,0.3528445434687601,0.20994262503344,delta_ambiguous,False,near_zero_delta_refinement,,"0.06066667,1.33162500"
0.07,1.265375,normal,0,0.0,0.0043221440727286,0.5896197928398494,0.315881594660812,0.3134921760321758,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,6.064379221015771e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,1,acquisition_stochastic,0.9871892636474562,0.9871892636474562,0.9871892636474562,0.0631705901369341,0.7035392424827538,0.7276754147512188,0.5119482100673961,delta_ambiguous,False,near_zero_delta_refinement,,"0.07000000,1.26537500"
0.0676666666666666,1.2985000000000002,normal,0,0.0,0.012382910764526,0.6052203119332353,0.3309880189090055,0.3294811320754717,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,8.848163313146529e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,1,acquisition_stochastic,0.8859252148183786,0.8859252148183786,0.8859252148183786,0.0260599828872522,0.7950416154375995,0.5946191914388606,0.4727470025317509,delta_ambiguous,False,near_zero_delta_refinement,,"0.06766667,1.29850000"
0.084,1.106375,normal,0,0.0,0.0001319444444444,0.5146407931186959,0.2464517728072798,0.2358644285455583,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.3964984724168517e-10,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,1,acquisition_stochastic,1.5336877602449916,1.5336877602449916,1.5336877602449916,1.337521137227052,0.3767937557646086,0.9967059752314352,0.3755525878004795,delta_ambiguous,False,near_zero_delta_refinement,,"0.08400000,1.10637500"
